"display","type","signal","word_pair","word_A","word_B","sound_A_male","sound_A_female","sound_B_male","sound_B_female","sound_1","sound_2","transliteration_A","transliteration_B","alt_writing_A","alt_writing_B","orthography_A","orthography_B","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","randomize_language_blocks","block_display","break_duration"
"training_trial","AA","same","toshin-tosshin","toshin","tosshin","M_toshin.mp3","F_toshin.mp3","M_tosshin.mp3","F_tosshin.mp3","","","toshin","tosshin","としん","とっしん","都心（としん）","突進（とっしん）","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","toshin-tosshin","toshin","tosshin","M_toshin.mp3","F_toshin.mp3","M_tosshin.mp3","F_tosshin.mp3","","","toshin","tosshin","としん","とっしん","都心（としん）","突進（とっしん）","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","toshin-tosshin","toshin","tosshin","M_toshin.mp3","F_toshin.mp3","M_tosshin.mp3","F_tosshin.mp3","","","toshin","tosshin","としん","とっしん","都心（としん）","突進（とっしん）","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","toshin-tosshin","toshin","tosshin","M_toshin.mp3","F_toshin.mp3","M_tosshin.mp3","F_tosshin.mp3","","","toshin","tosshin","としん","とっしん","都心（としん）","突進（とっしん）","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","2","",""
"break",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","20000"
"block_display",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Block 3 of 8",""
"training_trial","AB","different","obasan-obaasan","obasan","obaasan","M_obasan.mp3","F_obasan.mp3","M_obaasan.mp3","F_obaasan.mp3","","","obasan","obaasan","おばさん","おばあさん","おばさん","おばあさん","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","3","",""
"training_trial","BA","different","obasan-obaasan","obasan","obaasan","M_obasan.mp3","F_obasan.mp3","M_obaasan.mp3","F_obaasan.mp3","","","obasan","obaasan","おばさん","おばあさん","おばさん","おばあさん","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","3","",""
"training_trial","AB","different","obasan-obaasan","obasan","obaasan","M_obasan.mp3","F_obasan.mp3","M_obaasan.mp3","F_obaasan.mp3","","","obasan","obaasan","おばさん","おばあさん","おばさん","おばあさん","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","3","",""
"training_trial","BA","different","obasan-obaasan","obasan","obaasan","M_obasan.mp3","F_obasan.mp3","M_obaasan.mp3","F_obaasan.mp3","","","obasan","obaasan","おばさん","おばあさん","おばさん","おばあさん","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","3","",""
