ID	prepost	pair	first_dim_step	norm_response
4	Post	reason-risen	3	38
4	Post	reason-risen	3	39
4	Post	reason-risen	3	44
4	Post	reason-risen	4	44
4	Post	reason-risen	4	48
4	Post	reason-risen	4	42
4	Post	reason-risen	4	47
4	Post	reason-risen	5	63
4	Post	reason-risen	5	46
4	Post	reason-risen	5	58
4	Post	reason-risen	5	53
4	Post	reason-risen	6	71
4	Post	reason-risen	6	66
4	Post	reason-risen	6	71
4	Post	reason-risen	7	63
4	Post	reason-risen	7	63
4	Post	reason-risen	7	80
4	Post	reason-risen	7	88
4	Post	kata-katta	1	31
4	Post	kata-katta	1	41
4	Post	kata-katta	1	25
4	Post	kata-katta	1	33
4	Post	kata-katta	2	34
4	Post	kata-katta	2	44
4	Post	kata-katta	2	36
4	Post	kata-katta	2	45
4	Post	kata-katta	3	39
4	Post	kata-katta	3	42
4	Post	kata-katta	3	41
4	Post	kata-katta	3	56
4	Post	kata-katta	4	54
4	Post	kata-katta	4	45
4	Post	kata-katta	4	41
4	Post	kata-katta	4	59
4	Post	kata-katta	5	58
4	Post	kata-katta	5	65
4	Post	kata-katta	5	61
4	Post	kata-katta	5	55
4	Post	kata-katta	6	65
4	Post	kata-katta	6	58
4	Post	kata-katta	6	72
4	Post	kata-katta	6	61
4	Post	kata-katta	7	69
4	Post	kata-katta	7	60
4	Post	kata-katta	7	73
4	Post	kata-katta	7	63
4	Post	toru-tooru	1	21
4	Post	toru-tooru	1	16
4	Post	toru-tooru	1	6
4	Post	toru-tooru	1	23
4	Post	toru-tooru	2	24
4	Post	toru-tooru	2	31
4	Post	toru-tooru	2	23
4	Post	toru-tooru	2	32
4	Post	toru-tooru	3	56
4	Post	toru-tooru	3	47
4	Post	toru-tooru	3	34
4	Post	toru-tooru	3	46
4	Post	toru-tooru	4	61
4	Post	toru-tooru	4	60
4	Post	toru-tooru	4	57
4	Post	toru-tooru	4	83
4	Post	toru-tooru	5	66
4	Post	toru-tooru	5	60
4	Post	toru-tooru	5	62
4	Post	toru-tooru	5	67
4	Post	toru-tooru	6	67
4	Post	toru-tooru	6	64
4	Post	toru-tooru	6	68
4	Post	toru-tooru	6	76
4	Post	toru-tooru	7	64
4	Post	toru-tooru	7	61
4	Post	toru-tooru	7	75
4	Post	toru-tooru	7	78
6	Pre	indent-intent	1	19
6	Pre	indent-intent	1	0
6	Pre	indent-intent	1	0
6	Pre	indent-intent	2	26
6	Pre	indent-intent	2	11
6	Pre	indent-intent	2	0
6	Pre	indent-intent	2	5
6	Pre	indent-intent	3	100
6	Pre	indent-intent	3	100
6	Pre	indent-intent	3	100
6	Pre	indent-intent	3	16
6	Pre	indent-intent	4	100
6	Pre	indent-intent	4	81
6	Pre	indent-intent	4	100
6	Pre	indent-intent	4	58
6	Pre	indent-intent	5	100
6	Pre	indent-intent	5	100
6	Pre	indent-intent	5	100
6	Pre	indent-intent	5	99
6	Pre	indent-intent	6	100
6	Pre	indent-intent	6	100
6	Pre	indent-intent	6	100
6	Pre	indent-intent	6	100
6	Pre	indent-intent	7	100
6	Pre	indent-intent	7	100
6	Pre	indent-intent	7	100
6	Pre	indent-intent	7	100
6	Pre	reason-risen	1	0
6	Pre	reason-risen	1	0
6	Pre	reason-risen	1	0
6	Pre	reason-risen	1	0
6	Pre	reason-risen	2	0
6	Pre	reason-risen	2	0
6	Pre	reason-risen	2	0
6	Pre	reason-risen	2	0
6	Pre	reason-risen	3	0
6	Pre	reason-risen	3	33
6	Pre	reason-risen	3	10
6	Pre	reason-risen	3	0
6	Pre	reason-risen	4	35
6	Pre	reason-risen	4	30
6	Pre	reason-risen	4	27
6	Pre	reason-risen	4	25
6	Pre	reason-risen	5	60
6	Pre	reason-risen	5	62
6	Pre	reason-risen	5	100
6	Pre	reason-risen	5	74
6	Pre	reason-risen	6	53
6	Pre	reason-risen	6	100
6	Pre	reason-risen	6	55
6	Pre	reason-risen	6	100
6	Pre	reason-risen	7	100
6	Pre	reason-risen	7	100
6	Pre	reason-risen	7	76
6	Pre	kata-katta	1	1
6	Pre	kata-katta	1	4
6	Pre	kata-katta	1	26
6	Pre	kata-katta	1	30
6	Pre	kata-katta	2	1
6	Pre	kata-katta	2	4
6	Pre	kata-katta	2	42
6	Pre	kata-katta	2	7
6	Pre	kata-katta	3	0
6	Pre	kata-katta	3	0
6	Pre	kata-katta	3	7
6	Pre	kata-katta	3	45
6	Pre	kata-katta	4	97
6	Pre	kata-katta	4	6
6	Pre	kata-katta	4	12
6	Pre	kata-katta	4	31
6	Pre	kata-katta	5	10
6	Pre	kata-katta	5	6
6	Pre	kata-katta	5	62
6	Pre	kata-katta	5	34
6	Pre	kata-katta	6	97
6	Pre	kata-katta	6	98
6	Pre	kata-katta	6	9
6	Pre	kata-katta	6	66
6	Pre	kata-katta	7	85
6	Pre	kata-katta	7	16
6	Pre	kata-katta	7	69
6	Pre	kata-katta	7	100
6	Pre	toru-tooru	1	0
6	Pre	toru-tooru	1	0
6	Pre	toru-tooru	1	0
6	Pre	toru-tooru	1	28
6	Pre	toru-tooru	2	10
6	Pre	toru-tooru	2	18
6	Pre	toru-tooru	2	0
6	Pre	toru-tooru	2	15
6	Pre	toru-tooru	3	100
6	Pre	toru-tooru	3	28
6	Pre	toru-tooru	3	100
6	Pre	toru-tooru	3	53
6	Pre	toru-tooru	4	99
6	Pre	toru-tooru	4	99
6	Pre	toru-tooru	4	100
6	Pre	toru-tooru	4	100
6	Pre	toru-tooru	5	100
6	Pre	toru-tooru	5	12
6	Pre	toru-tooru	5	100
6	Pre	toru-tooru	5	86
6	Pre	toru-tooru	6	99
6	Pre	toru-tooru	6	100
6	Pre	toru-tooru	6	100
6	Pre	toru-tooru	6	100
6	Pre	toru-tooru	7	100
6	Pre	toru-tooru	7	100
6	Pre	toru-tooru	7	100
6	Pre	toru-tooru	7	100
6	Post	indent-intent	1	12
6	Post	indent-intent	1	21
6	Post	indent-intent	1	1
6	Post	indent-intent	1	12
6	Post	indent-intent	2	0
6	Post	indent-intent	2	18
6	Post	indent-intent	2	24
6	Post	indent-intent	2	4
6	Post	indent-intent	3	72
6	Post	indent-intent	3	66
6	Post	indent-intent	3	24
6	Post	indent-intent	3	11
6	Post	indent-intent	4	94
6	Post	indent-intent	4	83
6	Post	indent-intent	4	53
6	Post	indent-intent	4	81
6	Post	indent-intent	5	100
6	Post	indent-intent	5	90
6	Post	indent-intent	5	73
6	Post	indent-intent	5	100
6	Post	indent-intent	6	64
6	Post	indent-intent	6	46
6	Post	indent-intent	6	75
6	Post	indent-intent	6	87
6	Post	indent-intent	7	100
6	Post	indent-intent	7	79
6	Post	indent-intent	7	83
6	Post	indent-intent	7	78
6	Post	reason-risen	1	0
6	Post	reason-risen	1	4
6	Post	reason-risen	1	0
6	Post	reason-risen	1	0
6	Post	reason-risen	2	2
6	Post	reason-risen	2	0
6	Post	reason-risen	2	0
6	Post	reason-risen	2	24
6	Post	reason-risen	3	3
6	Post	reason-risen	3	1
6	Post	reason-risen	3	26
6	Post	reason-risen	3	18
6	Post	reason-risen	4	45
6	Post	reason-risen	4	31
6	Post	reason-risen	4	36
6	Post	reason-risen	4	6
6	Post	reason-risen	5	47
6	Post	reason-risen	5	21
6	Post	reason-risen	5	73
6	Post	reason-risen	5	51
6	Post	reason-risen	6	84
6	Post	reason-risen	6	67
6	Post	reason-risen	6	61
6	Post	reason-risen	6	93
6	Post	reason-risen	7	98
6	Post	reason-risen	7	99
6	Post	reason-risen	7	100
6	Post	reason-risen	7	100
6	Post	kata-katta	1	21
6	Post	kata-katta	1	20
6	Post	kata-katta	1	18
6	Post	kata-katta	1	18
6	Post	kata-katta	2	2
6	Post	kata-katta	2	19
6	Post	kata-katta	2	18
6	Post	kata-katta	2	49
6	Post	kata-katta	3	10
6	Post	kata-katta	3	34
6	Post	kata-katta	3	61
6	Post	kata-katta	3	38
6	Post	kata-katta	4	49
6	Post	kata-katta	4	28
6	Post	kata-katta	4	23
6	Post	kata-katta	4	68
6	Post	kata-katta	5	61
6	Post	kata-katta	5	52
6	Post	kata-katta	5	54
6	Post	kata-katta	6	84
6	Post	kata-katta	6	47
6	Post	kata-katta	6	71
6	Post	kata-katta	6	21
6	Post	kata-katta	7	79
6	Post	kata-katta	7	90
6	Post	kata-katta	7	78
6	Post	kata-katta	7	77
6	Post	toru-tooru	1	0
6	Post	toru-tooru	1	0
6	Post	toru-tooru	1	1
6	Post	toru-tooru	1	15
6	Post	toru-tooru	2	0
6	Post	toru-tooru	2	15
6	Post	toru-tooru	2	92
6	Post	toru-tooru	2	68
6	Post	toru-tooru	3	8
6	Post	toru-tooru	3	97
6	Post	toru-tooru	3	32
6	Post	toru-tooru	3	31
6	Post	toru-tooru	4	84
6	Post	toru-tooru	4	84
6	Post	toru-tooru	4	95
6	Post	toru-tooru	4	77
6	Post	toru-tooru	5	86
6	Post	toru-tooru	5	92
6	Post	toru-tooru	5	100
6	Post	toru-tooru	5	98
6	Post	toru-tooru	6	100
6	Post	toru-tooru	6	100
6	Post	toru-tooru	6	94
6	Post	toru-tooru	6	96
