"local_date","ID","exp_group","prepost","pretraining_condition","posttraining_condition","response","reaction_time","sound","pair","language","first_dim_step","second_dim_step","left_word","right_word","reverse_scale","norm_left_word","norm_right_word","norm_response","days_between"
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",1,5498.000000023836,"I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"reason","risen","no","reason","risen",1,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",0,3234.0000000059663,"I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"reason","risen","no","reason","risen",0,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",0,5998.5,"I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"reason","risen","no","reason","risen",0,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",1,2704.7000000238477,"I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"reason","risen","no","reason","risen",1,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",1,2116.6999999999825,"I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"reason","risen","no","reason","risen",1,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",0,2250.0999999999767,"I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"reason","risen","no","reason","risen",0,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",99,3289.2999999999884,"I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"reason","risen","no","reason","risen",99,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",1,1683,"I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"reason","risen","no","reason","risen",1,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",3,3002.600000005972,"I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"reason","risen","no","reason","risen",3,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",3,2322.2000000000116,"I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"reason","risen","no","reason","risen",3,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",0,1758.7000000178814,"I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"reason","risen","no","reason","risen",0,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",100,3928.299999999989,"I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"reason","risen","no","reason","risen",100,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",31,3113.40000002383,"I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"reason","risen","no","reason","risen",31,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",28,2445.700000005949,"I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"reason","risen","no","reason","risen",28,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",71,2000.3000000178872,"I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"reason","risen","no","reason","risen",71,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",27,2165.6999999999825,"I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"reason","risen","no","reason","risen",27,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",5,2976.100000005972,"I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"reason","risen","no","reason","risen",5,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",5,2943.800000005954,"I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"reason","risen","no","reason","risen",5,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",3,3649.8000000000175,"I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"reason","risen","no","reason","risen",3,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",0,2250.000000000029,"I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"reason","risen","no","reason","risen",0,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",88,5449.600000000006,"I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"reason","risen","no","reason","risen",88,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",9,2903.600000000006,"I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"reason","risen","no","reason","risen",9,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",0,4549.499999999971,"I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"reason","risen","no","reason","risen",0,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",38,2016.6999999999823,"I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"reason","risen","no","reason","risen",38,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",18,3483.4000000000233,"I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"reason","risen","no","reason","risen",18,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",57,2683.5,"I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"reason","risen","no","reason","risen",57,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",60,4073.300000005954,"I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"reason","risen","no","reason","risen",60,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",80,3083.7000000000116,"I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"reason","risen","no","reason","risen",80,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",0,3635.600000005972,"D_T_VOT_4_F0_3.mp3","indent-intent","English",4,3,"intent","indent","yes","indent","intent",100,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",0,1617,"D_T_VOT_6_F0_3.mp3","indent-intent","English",6,3,"intent","indent","yes","indent","intent",100,39
"2025-03-25","2","Control","Pre","spreadsheet2","spreadsheet4",0,1587.600000005972,"D_T_VOT_4_F0_3.mp3","indent-intent","English",4,3,"intent","indent","yes","indent","intent",100,39
