"local_date","ID","exp_group","prepost","response","reaction_time","correct","sentence","key_word","sound","correct_answer","competing_distractor","non_competing_distractor_1","non_competing_distractor_2","origin_task","length","segment_type","phoneme_quality","phoneme_identity","word_position","c_label","cd_label","ncd1_label","ncd2_label","example","days_between"
"2025-05-03","2","Control","Post","shuushin",12788.79999998212,0,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing","short","consonant","sh","sh","medial","しゅしん","しゅっしん","しゅうしん","しゅじん","correct",39
"2025-05-03","2","Control","Post","iitai",10263.39999998809,1,"「___」とかいてありますか？","iitai_s","F_iitai_s.mp3","iitai","itai","ittai","intai","testing","long","vowel","i","ii","initial","いいたい","いたい","いったい","いんたい","correct",39
"2025-05-03","2","Control","Post","ikko",18052.899999982095,0,"あの___はまだですね。","ikkoo_s","F_ikkoo_s.mp3","ikkoo","ikoo","ikko","iikoo","testing","long","consonant","k","kk","medial","いっこう","いこう","いっこ","いいこう","correct",39
"2025-04-01","3","Control","Pre","hossoku",17115.90000000001,1,"いや、___じゃないよ。","hossoku_s","F_hossoku_s.mp3","hossoku","hosoku","hoosoku","hassoku","testing","long","consonant","s","ss","medial","ほっそく","ほそく","ほうそく","はっそく","correct",23
"2025-04-01","3","Control","Pre","ojiisan",14760.699999999995,1,"___をしっていますか？","ojiisan_s","F_ojiisan_s.mp3","ojiisan","ojisan","oojisan","ochisan","training","long","vowel","i","ii","medial","おじいさん","おじさん","おおじさん","おちさん","correct",23
"2025-04-01","3","Control","Pre","tannin",9914.699999999995,1,"___はしりません。","tannin_s","F_tannin_s.mp3","tannin","tanin","taiin","tainin","testing","long","consonant","n","nn","medial","たんにん","たにん","たいいん","たいにん","correct",23
"2025-04-01","3","Control","Pre","juyoo",17139.10000000037,1,"「___」ってどういういみですか？","juyoo_s","F_juyoo_s.mp3","juyoo","juuyoo","juyo","shuyoo","testing","short","vowel","u","u","medial","じゅよう","じゅうよう","じゅよ","しゅよう","correct",23
"2025-04-01","3","Control","Pre","gaki",10032.700000000375,1,"___はどうなったの？","gaki_s","F_gaki_s.mp3","gaki","gakki","gakui","kaki","training","short","consonant","k","k","medial","がき","がっき","がくい","かき","correct",23
"2025-04-01","3","Control","Pre","iitai",7399.399999998888,1,"「___」とかいてありますか？","iitai_s","F_iitai_s.mp3","iitai","itai","ittai","intai","testing","long","vowel","i","ii","initial","いいたい","いたい","いったい","いんたい","correct",23
"2025-04-01","3","Control","Pre","shusshin",9916.5,0,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing","short","consonant","sh","sh","medial","しゅしん","しゅっしん","しゅうしん","しゅじん","correct",23
"2025-04-01","3","Control","Pre","meshi",14020.899999999252,1,"これは___ですよ。","meshi_s","F_meshi_s.mp3","meshi","meeshi","messhi","mashi","testing","short","vowel","e","e","medial","めし","めいし","めっし","まし","correct",23
"2025-04-01","3","Control","Pre","obasan",15316.400000000023,1,"あのひと、___ですか？","obasan_s","F_obasan_s.mp3","obasan","obaasan","oobasan","obaisan","training","short","vowel","a","a","medial","おばさん","おばあさん","おおばさん","おばいさん","correct",23
"2025-04-01","3","Control","Pre","shuchoo",17131.900000000373,1,"じぶんだけの___です。","shuchoo_s","F_shuchoo_s.mp3","shuchoo","shucchoo","juchoo","shuuchoo","testing","short","consonant","ch","ch","medial","しゅちょう","しゅっちょう","じゅちょう","しゅうちょう","correct",23
"2025-04-01","3","Control","Pre","itte",5627.9000000003725,1,"もう、___よ！","itte_s","F_itte_s.mp3","itte","ite","ittee","iitte","training","long","consonant","t","tt","medial","いって","いて","いってい","いいって","correct",23
"2025-04-01","3","Control","Pre","ikkoo",22287.699999999633,1,"あの___はまだですね。","ikkoo_s","F_ikkoo_s.mp3","ikkoo","ikoo","ikko","iikoo","testing","long","consonant","k","kk","medial","いっこう","いこう","いっこ","いいこう","correct",23
"2025-04-01","3","Control","Pre","hooso",19700.199999999983,0,"このじょうきょうに___がいるとおもう。","hoosoo_s","F_hoosoo_s.mp3","hoosoo","hosoo","hossoo","hooso","testing","long","vowel","o","oo","medial","ほうそう","ほそう","ほっそう","ほうそ","correct",23
"2025-04-01","3","Control","Pre","haaku",13209.100000000006,1,"___でしょうかな。","haaku_s","F_haaku_s.mp3","haaku","haku","hakku","hakuu","training","long","vowel","a","aa","medial","はあく","はく","はっく","はくう","correct",23
