"local_date","session","ID","exp_group","response","reaction_time","log_rt","correct","language","word_pair","signal","type","sound_1","sound_2","speaker_signal","segment_type","task","days_between","dprime_response"
"2025-04-28","1","4","High LD","same",287.4000000000233,5.660874973645005,1,"MSA","zinah-ziinah","same","BB","F_ziinah.mp3","M_ziinah.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",257.89999999990687,5.552571912886938,1,"MSA","watara-wattara","different","BA","F_wattara.mp3","M_watara.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",1734.2999999999302,7.4583591527565,1,"Japanese","ishoku-isshoku","different","BA","M_isshoku.mp3","M_ishoku.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",1274.7000000000698,7.15046613578893,1,"Japanese","toshin-tosshin","different","AB","F_toshin.mp3","M_tosshin.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",429,6.061456918928017,1,"Japanese","jutaku-juutaku","same","AA","F_jutaku.mp3","F_jutaku.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",944.8000000000466,6.850973264883202,1,"Japanese","hasan-hassan","different","BA","M_hassan.mp3","F_hasan.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",2940.3000000000466,7.98626689594326,1,"Japanese","iso-isso","different","AB","F_iso.mp3","F_isso.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",809.0999999999767,6.695922518813765,0,"Japanese","jutaku-juutaku","different","BA","F_juutaku.mp3","M_jutaku.mp3","different","vowel","training",26,"miss"
"2025-04-28","1","4","High LD","different",1049.9000000000233,6.9564502005209174,1,"Japanese","saka-sakka","different","BA","F_sakka.mp3","M_saka.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",865.2999999999302,6.763076267612613,1,"Japanese","iso-isso","same","AA","M_iso.mp3","M_iso.mp3","same","consonant","training",26,"corr_reject"
