"local_date","session","ID","exp_group","response","reaction_time","correct","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","days_between"
"2025-04-03","1","1","Low LD","different",640.9000000000233,1,"hasan-hassan","different","AB","hasan","hassan","F_hasan.mp3","F_hassan.mp3","same","Japanese","bankruptcy","emission, radiation","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",971.4000000238302,1,"iso-isso","different","BA","iso","isso","M_isso.mp3","M_iso.mp3","same","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",1045.5999999761698,0,"iso-isso","same","AA","iso","isso","F_iso.mp3","M_iso.mp3","different","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",547.5000000476721,1,"ite-itte","different","AB","ite","itte","F_ite.mp3","F_itte.mp3","same","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",859.9000000238302,1,"iso-isso","same","AA","iso","isso","F_iso.mp3","F_iso.mp3","same","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",901.7000000715489,1,"heta-hetta","different","BA","heta","hetta","M_hetta.mp3","F_heta.mp3","different","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",671.6000000238419,1,"kasee-kassee","different","BA","kasee","kassee","F_kassee.mp3","M_kasee.mp3","different","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",593.4000000238302,1,"ojisan-ojiisan","different","BA","ojisan","ojiisan","F_ojiisan.mp3","M_ojisan.mp3","different","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",1007.2999999761814,1,"saka-sakka","different","AB","saka","sakka","F_saka.mp3","F_sakka.mp3","same","Japanese","slope, hill","author","LH(L)","LHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",749.8999999999651,1,"kasee-kassee","different","BA","kasee","kassee","M_kassee.mp3","M_kasee.mp3","same","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",668.2000000476837,1,"ite-itte","same","BB","ite","itte","M_itte.mp3","M_itte.mp3","same","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",852.1000000238419,1,"saka-sakka","different","AB","saka","sakka","F_saka.mp3","M_sakka.mp3","different","Japanese","slope, hill","author","LH(L)","LHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",593.8000000476604,1,"ojisan-ojiisan","different","BA","ojisan","ojiisan","F_ojiisan.mp3","F_ojisan.mp3","same","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",743.4000000476954,1,"nishi-nisshi","different","AB","nishi","nisshi","F_nishi.mp3","F_nisshi.mp3","same","Japanese","west","log, journal","LH","LHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",777.3000000476604,1,"gaki-gakki","same","BB","gaki","gakki","M_gakki.mp3","F_gakki.mp3","different","Japanese","brat, kid","musical instrument","LH(L)/HL","LHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",712.2000000715489,1,"ishoku-isshoku","same","AA","ishoku","isshoku","M_ishoku.mp3","F_ishoku.mp3","different","Japanese","transplanting, grafting","one color; one kind","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
